book_id,n_reviews_total,n_reviews_gendered,prop_review_gendered,char_only,no_char,child_gender,addressee_gender_score_token
M36,500,97,0.194,1.8080357142857142,2.973620719413741,0.6,0.512
M37,550,113,0.20545454545454545,1.523943661971831,3.0244650864096485,NA,0.38848920863309355
M38,580,132,0.22758620689655173,3.009283309283309,3.1004498714652957,0.46875,0.5371428571428571
M39,385,90,0.23376623376623376,4.523113553113553,3.178404013427233,NA,0.8155339805825242
M4,476,112,0.23529411764705882,1.1272108843537414,2.962954013029107,0.4,0.39568345323741005
M40,650,203,0.3123076923076923,1.5,3.007502121528656,NA,0.34901960784313724
M41,560,218,0.3892857142857143,1.1829931972789116,2.8481260509482826,0.07692307692307693,0.19402985074626866
M42,520,110,0.21153846153846154,1.1367195767195768,3.142271209182974,0.6666666666666666,0.5035460992907801
M43,640,115,0.1796875,1.1793650793650794,2.9610036598017366,0.6,0.5514705882352942
M44,480,104,0.21666666666666667,3.166931216931217,2.964082919616863,0.3333333333333333,0.2868217054263566
M45,649,155,0.23882896764252695,4.9,3.200338637057387,0.5069124423963134,0.49238578680203043
M46,690,209,0.30289855072463767,1.0714285714285714,2.979102857528252,0.6470588235294118,0.38661710037174724
M47,480,206,0.42916666666666664,3.9415584415584415,3.2089755255360353,NA,0.9592592592592593
M48,520,123,0.23653846153846153,2,2.9575134085772383,0.41935483870967744,0.43506493506493504
M49,460,144,0.3130434782608696,1.243421052631579,2.9893611432240945,NA,0.23699421965317918
M5,410,85,0.2073170731707317,2.3793650793650793,3.0090321239492184,NA,0.5148514851485149
M50,610,188,0.3081967213114754,1.2,3.046024842297662,NA,0.6015625
M51,34,17,0.5,NA,2.7647138092260044,NA,0.058823529411764705
M52,158,46,0.2911392405063291,2.3379980563654033,2.9680719174892904,NA,0.40625
M53,346,104,0.30057803468208094,1.3016512587941158,3.0030620252517766,0.42857142857142855,0.4351145038167939
M54,412,161,0.3907766990291262,1.5351822780394209,3.005473602484472,0.3333333333333333,0.271356783919598
M55,168,42,0.25,4.248026315789474,3.119679104346141,NA,0.9272727272727272
M56,499,179,0.3587174348697395,1.7794871794871794,3.422005842259007,0.5,0.42616033755274263
M57,111,42,0.3783783783783784,4.296904761904762,3.055026768103691,NA,0.5957446808510638
M58,332,112,0.3373493975903614,4.551231527093596,3.118450160950161,1,0.8543046357615894
M59,159,38,0.2389937106918239,2.7576819407008086,2.9908628369754977,NA,0.4883720930232558
M6,530,129,0.24339622641509434,2.4421652421652422,3.02342920579776,0.625,0.4934210526315789
M60,390,77,0.19743589743589743,1.0649350649350648,2.9719986350619654,NA,0.44329896907216493
M61,136,47,0.34558823529411764,1.4441558441558442,2.9751146580692036,NA,0.23333333333333334
M62,690,171,0.24782608695652175,1.0855072463768116,3.038518558420519,0.43410852713178294,0.47715736040609136
M63,650,192,0.2953846153846154,3.9514285714285715,3.0332443776665743,0.5555555555555556,0.60546875
M64,256,131,0.51171875,4.495043911911382,3.1038020444427827,NA,0.9364161849710982
M65,315,73,0.23174603174603176,1.4609279609279608,3.042544972379694,NA,0.5632183908045977
M66,36,9,0.25,2.5875804375804377,3.0588104168793024,NA,0.5
M67,160,75,0.46875,4.562525879917184,3.018792937108445,NA,0.9891304347826086
M68,57,19,0.3333333333333333,3.761904761904762,2.912016884469886,NA,0.47619047619047616
M69,95,39,0.4105263157894737,4.1817142857142855,3.047280240598655,NA,0.8360655737704918
M7,540,162,0.3,1.1805994005994007,2.9692317165593027,0.6153846153846154,0.27225130890052357
M70,202,86,0.42574257425742573,1.2666666666666666,3.182123571815314,NA,0.37623762376237624
M71,158,70,0.4430379746835443,1.0357142857142856,2.8924048996256326,NA,0.11494252873563218
M72,390,132,0.3384615384615385,1.2,2.889206032063175,NA,0.42483660130718953
M73,133,48,0.3609022556390977,3.524242424242424,3.116276157646584,NA,0.49230769230769234
M74,168,55,0.3273809523809524,1.4450980392156862,3.0059966138952205,NA,0.5138888888888888
M75,348,119,0.34195402298850575,NA,2.9973638540946235,NA,0.36551724137931035
M76,28,7,0.25,1.6273186813186813,2.9939251015911172,NA,0.14285714285714285
M77,458,81,0.17685589519650655,3.1890306122448977,3.0425953518606064,0.43333333333333335,0.43157894736842106
M78,240,64,0.26666666666666666,NA,3.0585467703564944,NA,0.4186046511627907
M79,381,90,0.23622047244094488,NA,2.9727667924500505,NA,0.5233644859813084
M8,599,155,0.2587646076794658,2.5198606271777004,3.0094616051548826,0.4411764705882353,0.2843601895734597
M80,449,81,0.18040089086859687,1.188150183150183,2.974751993120242,NA,0.4444444444444444
M81,148,53,0.3581081081081081,2.539506172839506,2.6952390642866835,NA,0.1111111111111111
M82,679,153,0.22533136966126657,1.7770114942528734,3.0836677711666134,NA,0.5418994413407822
M83,23,1,0.043478260869565216,1.7578042328042327,3.038627680929471,NA,0
M84,14,3,0.21428571428571427,2.9309145880574454,2.9989160380579873,NA,0.6666666666666666
M85,510,108,0.21176470588235294,1.3678004535147392,3.036162471398816,NA,0.45454545454545453
M86,600,178,0.2966666666666667,1,3.2135095871206985,NA,0.5570175438596491
M87,38,8,0.21052631578947367,3.3459085557299844,2.947595828498419,NA,0.6363636363636364
M88,500,100,0.2,3.585374149659864,2.9732082657311523,0.7857142857142857,0.847457627118644
M89,45,12,0.26666666666666666,3.822207857501975,3.136559674036839,NA,0.8666666666666667
M9,176,32,0.18181818181818182,1.6738095238095239,3.073759941039353,NA,0.6857142857142857
M90,53,21,0.39622641509433965,3.4652403696521343,3.001182122696756,NA,1
M91,590,101,0.1711864406779661,1.458941798941799,2.9970988599148995,NA,0.5245901639344263
M92,303,81,0.26732673267326734,3.326970235353469,3.0861350154476472,NA,0.6347826086956522
M93,1,NA,NA,2.6689865689865693,2.996637616007181,NA,NA
M94,118,37,0.3135593220338983,3.7523809523809524,2.9722141004619482,NA,0.42
M95,390,61,0.1564102564102564,4.233096931080124,3.1365057832900156,NA,0.7738095238095238
M96,134,12,0.08955223880597014,3.4105889724310776,3.1659989995492124,NA,0.8666666666666667
M97,121,13,0.10743801652892562,3.3496298028212923,3.0008788888941313,NA,0.625
M98,119,23,0.19327731092436976,1.3596339113680154,3.0363916176104895,NA,0.5666666666666667
M99,75,24,0.32,3.7468152218152215,2.9895606971511612,NA,0.1875
