word,dom_po_s_subtlex
neither,Adverb
never,Adverb
nicely,Adverb
now,Adverb
nowhere,Adverb
off,Adverb
often,Adverb
ok,Adverb
okay,Adverb
once,Adverb
only,Adverb
out,Adverb
outside,Adverb
over,Adverb
perfectly,Adverb
perhaps,Adverb
please,Adverb
politely,Adverb
possibly,Adverb
pretty,Adverb
probably,Adverb
proudly,Adverb
quickly,Adverb
quietly,Adverb
quite,Adverb
rather,Adverb
really,Adverb
right,Adverb
safely,Adverb
scarcely,Adverb
sincerely,Adverb
slowly,Adverb
so,Adverb
softly,Adverb
someday,Adverb
sometimes,Adverb
somewhere,Adverb
soon,Adverb
sort,Adverb
still,Adverb
straight,Adverb
suddenly,Adverb
surely,Adverb
terribly,Adverb
then,Adverb
tight,Adverb
today,Adverb
together,Adverb
tomorrow,Adverb
tonight,Adverb
too,Adverb
truly,Adverb
twice,Adverb
up,Adverb
upside,Adverb
upstairs,Adverb
usually,Adverb
very,Adverb
whenever,Adverb
why,Adverb
wildly,Adverb
yet,Adverb
every,Article
although,Conjunction
and,Conjunction
because,Conjunction
before,Conjunction
but,Conjunction
except,Conjunction
if,Conjunction
since,Conjunction
than,Conjunction
though,Conjunction
till,Conjunction
until,Conjunction
whether,Conjunction
while,Conjunction
all,Determiner
another,Determiner
any,Determiner
both,Determiner
few,Determiner
half,Determiner
many,Determiner
more,Determiner
much,Determiner
own,Determiner
same,Determiner
several,Determiner
some,Determiner
such,Determiner
these,Determiner
those,Determiner
whatever,Determiner
which,Determiner
whose,Determiner
there,Ex
ah,Interjection
bye,Interjection
dear,Interjection
goodbye,Interjection
goodnight,Interjection
hello,Interjection
hey,Interjection
hi,Interjection
hoo,Interjection
hooray,Interjection
hum,Interjection
hurray,Interjection
hush,Interjection
no,Interjection
oh,Interjection
pop,Interjection
uh,Interjection
whoo,Interjection
wow,Interjection
yeah,Interjection
yes,Interjection
al,Name
alan,Name
alexander,Name
alice,Name
amelia,Name
amos,Name
angelina,Name
anna,Name
annie,Name
antonio,Name
april,Name
arthur,Name
australia,Name
baker,Name
ben,Name
berry,Name
billy,Name
bo,Name
bobby,Name
brown,Name
california,Name
camilla,Name
carl,Name
celeste,Name
charley,Name
charlie,Name
cinderella,Name
crane,Name
curly,Name
david,Name
dibble,Name
digger,Name
drew,Name
ed,Name
elizabeth,Name
emily,Name
emma,Name
eve,Name
finch,Name
florence,Name
fox,Name
france,Name
frances,Name
fred,Name
george,Name
gerald,Name
gilly,Name
gloria,Name
god,Name
goosey,Name
gore,Name
grace,Name
grover,Name
harold,Name
harriet,Name
harry,Name
hector,Name
helen,Name
henry,Name
hunter,Name
ill,Name
irene,Name
jack,Name
jake,Name
james,Name
japan,Name
jenny,Name
jerry,Name
jill,Name
joe,Name
judy,Name
kitty,Name
laura,Name
lee,Name
leo,Name
lilly,Name
london,Name
loris,Name
lucy,Name
lulu,Name
ma,Name
mack,Name
madeline,Name
margaret,Name
maria,Name
mark,Name
mars,Name
marshall,Name
martha,Name
mary,Name
max,Name
merrymen,Name
michael,Name
mickey,Name
mike,Name
monday,Name
morris,Name
mulligan,Name
nancy,Name
nelson,Name
nicholas,Name
nick,Name
noah,Name
november,Name
olivia,Name
paris,Name
pascal,Name
pat,Name
paul,Name
peacock,Name
peck,Name
pete,Name
peter,Name
philip,Name
phoebe,Name
pip,Name
piper,Name
polly,Name
pooh,Name
rita,Name
robin,Name
ruby,Name
ryder,Name
sal,Name
sally,Name
sam,Name
sammy,Name
sarah,Name
saturday,Name
shore,Name
simon,Name
smith,Name
solomon,Name
sparrow,Name
sylvester,Name
teddy,Name
thomas,Name
thursday,Name
tommy,Name
tubman,Name
tuesday,Name
virginia,Name
wednesday,Name
willy,Name
wren,Name
york,Name
not,Not
accident,Noun
adventure,Noun
afternoon,Noun
air,Noun
airplanes,Noun
airport,Noun
alarm,Noun
alley,Noun
alligator,Noun
alphabet,Noun
ambulance,Noun
animal,Noun
animals,Noun
ankle,Noun
answers,Noun
apartment,Noun
aphids,Noun
apple,Noun
apples,Noun
archduke,Noun
armchair,Noun
arms,Noun
art,Noun
asphalt,Noun
attention,Noun
aunt,Noun
auto,Noun
axe,Noun
babies,Noun
baby,Noun
backyard,Noun
bag,Noun
bakery,Noun
ball,Noun
balloon,Noun
balls,Noun
bank,Noun
barber,Noun
barn,Noun
basket,Noun
bath,Noun
bathroom,Noun
batter,Noun
battle,Noun
beach,Noun
beans,Noun
beard,Noun
bears,Noun
bed,Noun
bedroom,Noun
bedtime,Noun
bee,Noun
beef,Noun
bees,Noun
beetle,Noun
beginning,Noun
bell,Noun
bells,Noun
belly,Noun
beluga,Noun
berries,Noun
bicycle,Noun
bike,Noun
billions,Noun
bingo,Noun
bird,Noun
birds,Noun
birthday,Noun
bit,Noun
blackberry,Noun
blade,Noun
blanket,Noun
blaze,Noun
block,Noun
blueberry,Noun
boa,Noun
board,Noun
boat,Noun
bobbin,Noun
body,Noun
bone,Noun
book,Noun
books,Noun
boom,Noun
boots,Noun
bottle,Noun
bottom,Noun
bout,Noun
box,Noun
boy,Noun
boys,Noun
brain,Noun
brake,Noun
brakes,Noun
branch,Noun
branches,Noun
brass,Noun
bread,Noun
breakfast,Noun
breath,Noun
bricks,Noun
bridge,Noun
bridges,Noun
broom,Noun
brother,Noun
brothers,Noun
bubbles,Noun
bucket,Noun
buckets,Noun
buggy,Noun
bugs,Noun
building,Noun
bulldozer,Noun
bumble,Noun
bump,Noun
bunny,Noun
buns,Noun
bunting,Noun
bus,Noun
bush,Noun
bushes,Noun
business,Noun
buster,Noun
butt,Noun
butter,Noun
butterflies,Noun
butterfly,Noun
button,Noun
buttons,Noun
cage,Noun
cake,Noun
camel,Noun
camper,Noun
candle,Noun
cans,Noun
cap,Noun
captain,Noun
car,Noun
carrots,Noun
cars,Noun
cart,Noun
case,Noun
castle,Noun
cat,Noun
caterpillar,Noun
catnip,Noun
cats,Noun
cause,Noun
cave,Noun
ceiling,Noun
cellar,Noun
cement,Noun
center,Noun
cents,Noun
cereal,Noun
chains,Noun
chair,Noun
chairs,Noun
chalk,Noun
chase,Noun
cheeks,Noun
cheese,Noun
cherry,Noun
chest,Noun
chick,Noun
chicken,Noun
chicks,Noun
chief,Noun
child,Noun
childhood,Noun
children,Noun
chimpanzees,Noun
chin,Noun
chocolate,Noun
choice,Noun
christmas,Noun
chrysanthemum,Noun
church,Noun
circle,Noun
circus,Noun
city,Noun
claws,Noun
clerk,Noun
climber,Noun
clock,Noun
closet,Noun
clothes,Noun
clouds,Noun
clover,Noun
clown,Noun
coal,Noun
cock,Noun
coffee,Noun
collar,Noun
color,Noun
coloring,Noun
colors,Noun
company,Noun
concertina,Noun
cone,Noun
congratulations,Noun
constrictor,Noun
cookie,Noun
corduroy,Noun
cork,Noun
corn,Noun
corner,Noun
costumes,Noun
cottage,Noun
country,Noun
countryside,Noun
cousin,Noun
covers,Noun
cow,Noun
crack,Noun
crayon,Noun
cream,Noun
creature,Noun
cricket,Noun
crow,Noun
crowd,Noun
crown,Noun
crumbs,Noun
crusher,Noun
cub,Noun
cup,Noun
cupboard,Noun
custard,Noun
customers,Noun
dad,Noun
daddy,Noun
daisies,Noun
dame,Noun
dancer,Noun
danger,Noun
darling,Noun
day,Noun
days,Noun
deal,Noun
decker,Noun
deeds,Noun
deer,Noun
delight,Noun
delivery,Noun
den,Noun
dentist,Noun
department,Noun
derby,Noun
desert,Noun
desk,Noun
dessert,Noun
diamond,Noun
diaper,Noun
dingo,Noun
dinner,Noun
dinosaur,Noun
dinosaurs,Noun
direction,Noun
dirt,Noun
distance,Noun
ditty,Noun
doctor,Noun
dog,Noun
dogs,Noun
dollar,Noun
dolls,Noun
donkey,Noun
door,Noun
doors,Noun
doorway,Noun
doughnuts,Noun
dozen,Noun
dragons,Noun
drapes,Noun
dream,Noun
dreams,Noun
dress,Noun
drink,Noun
driver,Noun
drum,Noun
duchess,Noun
duck,Noun
duckling,Noun
duke,Noun
dumplings,Noun
dust,Noun
duty,Noun
eagle,Noun
ear,Noun
ears,Noun
earth,Noun
east,Noun
edge,Noun
egg,Noun
eggs,Noun
elbow,Noun
electricity,Noun
elephant,Noun
elephants,Noun
elevator,Noun
elves,Noun
encyclopedias,Noun
end,Noun
engine,Noun
english,Noun
evening,Noun
eye,Noun
eyes,Noun
face,Noun
faces,Noun
fairy,Noun
family,Noun
fan,Noun
faraway,Noun
farmer,Noun
father,Noun
fault,Noun
fear,Noun
feast,Noun
feathers,Noun
feelings,Noun
feet,Noun
fellow,Noun
fence,Noun
field,Noun
finger,Noun
fingers,Noun
fire,Noun
fireman,Noun
fish,Noun
fishing,Noun
flag,Noun
flamingo,Noun
flashlight,Noun
flavors,Noun
flea,Noun
flies,Noun
flitter,Noun
floor,Noun
flower,Noun
flowers,Noun
folks,Noun
food,Noun
foot,Noun
forehead,Noun
forest,Noun
forests,Noun
fork,Noun
form,Noun
freight,Noun
friend,Noun
friends,Noun
frisbee,Noun
frog,Noun
fruit,Noun
fun,Noun
fur,Noun
furniture,Noun
gallop,Noun
game,Noun
games,Noun
gander,Noun
garbage,Noun
garden,Noun
gardens,Noun
gas,Noun
gate,Noun
geese,Noun
general,Noun
genius,Noun
gentlemen,Noun
ghost,Noun
gift,Noun
giraffe,Noun
girl,Noun
girls,Noun
glance,Noun
glass,Noun
glasses,Noun
gloves,Noun
goat,Noun
gold,Noun
goldfish,Noun
goo,Noun
goodness,Noun
goose,Noun
gorilla,Noun
grade,Noun
grandfather,Noun
grandma,Noun
grapes,Noun
grass,Noun
gravel,Noun
grin,Noun
ground,Noun
growl,Noun
guard,Noun
gum,Noun
gun,Noun
guy,Noun
hair,Noun
hall,Noun
hand,Noun
hands,Noun
hare,Noun
hat,Noun
hatch,Noun
hay,Noun
head,Noun
heads,Noun
heart,Noun
heaven,Noun
hedgehog,Noun
helmet,Noun
hen,Noun
hens,Noun
heron,Noun
highway,Noun
hill,Noun
hills,Noun
hole,Noun
homework,Noun
honey,Noun
honor,Noun
hood,Noun
hook,Noun
hoot,Noun
horn,Noun
hornpipe,Noun
horse,Noun
hospital,Noun
hour,Noun
house,Noun
houses,Noun
hug,Noun
hundred,Noun
hundreds,Noun
hunting,Noun
husband,Noun
ice,Noun
idea,Noun
ideas,Noun
ink,Noun
instant,Noun
iron,Noun
jacket,Noun
jam,Noun
jar,Noun
jaws,Noun
jeep,Noun
jelly,Noun
job,Noun
joke,Noun
juice,Noun
jungle,Noun
ketchup,Noun
kettle,Noun
kid,Noun
kids,Noun
kind,Noun
kindergarten,Noun
kinds,Noun
king,Noun
kisses,Noun
kitchen,Noun
kite,Noun
kits,Noun
kitten,Noun
kittens,Noun
knee,Noun
knees,Noun
knife,Noun
ladder,Noun
ladies,Noun
lady,Noun
ladybug,Noun
lakes,Noun
lamb,Noun
lamp,Noun
landing,Noun
lane,Noun
lap,Noun
laughter,Noun
lawn,Noun
leaf,Noun
leap,Noun
leg,Noun
legs,Noun
lemon,Noun
lesson,Noun
letter,Noun
library,Noun
life,Noun
light,Noun
lights,Noun
limousine,Noun
line,Noun
lion,Noun
lips,Noun
list,Noun
lives,Noun
llama,Noun
load,Noun
loader,Noun
log,Noun
logs,Noun
lot,Noun
luck,Noun
lunch,Noun
lupine,Noun
macaroni,Noun
machines,Noun
madame,Noun
magic,Noun
magician,Noun
maiden,Noun
mail,Noun
malt,Noun
mama,Noun
man,Noun
maple,Noun
mare,Noun
master,Noun
matter,Noun
mattress,Noun
mayor,Noun
meal,Noun
meat,Noun
meatballs,Noun
meeting,Noun
member,Noun
men,Noun
mess,Noun
middle,Noun
midnight,Noun
mile,Noun
milk,Noun
million,Noun
mind,Noun
minute,Noun
mirror,Noun
mistake,Noun
mister,Noun
mistress,Noun
mittens,Noun
mixer,Noun
mom,Noun
moment,Noun
mommy,Noun
money,Noun
monkey,Noun
monkeys,Noun
monster,Noun
months,Noun
moo,Noun
moon,Noun
moose,Noun
morning,Noun
mother,Noun
motor,Noun
mountain,Noun
mountains,Noun
mouse,Noun
mouth,Noun
mouthful,Noun
movie,Noun
mud,Noun
mulberry,Noun
mule,Noun
music,Noun
mustard,Noun
name,Noun
nap,Noun
napkin,Noun
narrator,Noun
neck,Noun
neighborhood,Noun
neighbors,Noun
nest,Noun
news,Noun
night,Noun
noise,Noun
nook,Noun
north,Noun
nose,Noun
note,Noun
nurse,Noun
nut,Noun
oats,Noun
ocean,Noun
office,Noun
officer,Noun
oil,Noun
ones,Noun
order,Noun
ostrich,Noun
others,Noun
oven,Noun
owl,Noun
owner,Noun
package,Noun
page,Noun
pail,Noun
painters,Noun
painting,Noun
pajamas,Noun
pal,Noun
palace,Noun
pancake,Noun
panda,Noun
pants,Noun
papa,Noun
paper,Noun
parade,Noun
pardon,Noun
parents,Noun
park,Noun
parlor,Noun
parrot,Noun
party,Noun
passengers,Noun
past,Noun
patch,Noun
patient,Noun
paws,Noun
peach,Noun
peanut,Noun
peanuts,Noun
peas,Noun
peddler,Noun
peep,Noun
pencil,Noun
penguin,Noun
penny,Noun
people,Noun
peppers,Noun
person,Noun
petticoat,Noun
piano,Noun
pickle,Noun
picnic,Noun
picture,Noun
pictures,Noun
pie,Noun
piece,Noun
pig,Noun
pigeon,Noun
pile,Noun
pillow,Noun
pine,Noun
pipe,Noun
pirate,Noun
pits,Noun
pity,Noun
pizza,Noun
place,Noun
places,Noun
plan,Noun
plane,Noun
plants,Noun
plastic,Noun
plate,Noun
plow,Noun
plum,Noun
pocket,Noun
poem,Noun
pole,Noun
policemen,Noun
pond,Noun
pony,Noun
poodle,Noun
porch,Noun
porridge,Noun
potatoes,Noun
pots,Noun
pouch,Noun
powder,Noun
practice,Noun
prairie,Noun
prayers,Noun
prince,Noun
princess,Noun
principal,Noun
problem,Noun
pudding,Noun
puff,Noun
pumpkin,Noun
pup,Noun
puppies,Noun
puppy,Noun
quarters,Noun
queen,Noun
question,Noun
rabbit,Noun
raccoon,Noun
rag,Noun
railroad,Noun
rain,Noun
ram,Noun
raspberry,Noun
rat,Noun
raven,Noun
redbreast,Noun
rest,Noun
rhinoceros,Noun
ribbons,Noun
ride,Noun
ring,Noun
ringing,Noun
river,Noun
road,Noun
roar,Noun
rocket,Noun
rocks,Noun
roller,Noun
roof,Noun
room,Noun
rope,Noun
rug,Noun
rules,Noun
sailor,Noun
sake,Noun
salad,Noun
sale,Noun
salt,Noun
sand,Noun
sandwich,Noun
school,Noun
sea,Noun
seat,Noun
second,Noun
secret,Noun
seeds,Noun
service,Noun
shame,Noun
shape,Noun
shapes,Noun
sheep,Noun
sheets,Noun
shelf,Noun
shell,Noun
ship,Noun
shoe,Noun
shoes,Noun
shop,Noun
shopping,Noun
shortcake,Noun
shoulder,Noun
shovel,Noun
shovels,Noun
shower,Noun
side,Noun
sight,Noun
signal,Noun
silence,Noun
silk,Noun
silver,Noun
sir,Noun
sister,Noun
size,Noun
skin,Noun
skunk,Noun
sky,Noun
slurp,Noun
smile,Noun
snail,Noun
snake,Noun
sneakers,Noun
snow,Noun
snowflakes,Noun
snowman,Noun
soap,Noun
socks,Noun
sofa,Noun
son,Noun
song,Noun
sons,Noun
soul,Noun
soup,Noun
south,Noun
space,Noun
spaghetti,Noun
speech,Noun
speed,Noun
spider,Noun
splash,Noun
sports,Noun
square,Noun
squares,Noun
squirrel,Noun
stairs,Noun
star,Noun
stars,Noun
station,Noun
steam,Noun
steel,Noun
steps,Noun
sticks,Noun
stocking,Noun
stomach,Noun
stone,Noun
stores,Noun
stories,Noun
story,Noun
stout,Noun
straw,Noun
strawberry,Noun
street,Noun
streets,Noun
string,Noun
stripes,Noun
students,Noun
stuff,Noun
stump,Noun
suit,Noun
summer,Noun
sun,Noun
supper,Noun
surprise,Noun
swamp,Noun
sweater,Noun
table,Noun
taffy,Noun
tag,Noun
tail,Noun
tale,Noun
taps,Noun
taste,Noun
tastes,Noun
taxi,Noun
tea,Noun
teacher,Noun
team,Noun
teeth,Noun
telephone,Noun
tent,Noun
thanks,Noun
thing,Noun
things,Noun
thousand,Noun
throat,Noun
throne,Noun
thud,Noun
thumb,Noun
tiger,Noun
time,Noun
times,Noun
tin,Noun
title,Noun
toes,Noun
toilet,Noun
tomato,Noun
tooth,Noun
top,Noun
tow,Noun
towels,Noun
town,Noun
toy,Noun
toys,Noun
track,Noun
traffic,Noun
trail,Noun
trailer,Noun
train,Noun
trains,Noun
trash,Noun
tray,Noun
tree,Noun
trees,Noun
triangle,Noun
trick,Noun
tricks,Noun
trillions,Noun
trouble,Noun
troubles,Noun
truck,Noun
trucks,Noun
truth,Noun
tummy,Noun
tune,Noun
turtle,Noun
turtles,Noun
tv,Noun
twas,Noun
umbrella,Noun
uncle,Noun
view,Noun
village,Noun
voice,Noun
voices,Noun
wagon,Noun
wall,Noun
walrus,Noun
war,Noun
water,Noun
way,Noun
ways,Noun
weather,Noun
wedding,Noun
weeds,Noun
week,Noun
weeks,Noun
weenie,Noun
west,Noun
whale,Noun
wheat,Noun
wheel,Noun
wheelbarrow,Noun
wheels,Noun
whiskers,Noun
whistle,Noun
wife,Noun
wind,Noun
window,Noun
windows,Noun
wine,Noun
wings,Noun
winter,Noun
wire,Noun
witch,Noun
wolf,Noun
woman,Noun
wood,Noun
woods,Noun
word,Noun
words,Noun
workers,Noun
world,Noun
yard,Noun
yarn,Noun
year,Noun
years,Noun
zebra,Noun
zoo,Noun
eight,Number
first,Number
five,Number
four,Number
fourth,Number
last,Number
next,Number
nine,Number
one,Number
seven,Number
six,Number
ten,Number
third,Number
three,Number
twenty,Number
two,Number
above,Preposition
across,Preposition
after,Preposition
against,Preposition
among,Preposition
behind,Preposition
between,Preposition
beyond,Preposition
during,Preposition
front,Preposition
instead,Preposition
into,Preposition
like,Preposition
near,Preposition
onto,Preposition
through,Preposition
toward,Preposition
under,Preposition
underneath,Preposition
upon,Preposition
without,Preposition
anybody,Pronoun
anyone,Pronoun
anything,Pronoun
each,Pronoun
everybody,Pronoun
everyone,Pronoun
everything,Pronoun
he,Pronoun
her,Pronoun
herself,Pronoun
him,Pronoun
himself,Pronoun
his,Pronoun
its,Pronoun
itself,Pronoun
lots,Pronoun
me,Pronoun
mine,Pronoun
my,Pronoun
myself,Pronoun
nobody,Pronoun
none,Pronoun
nothing,Pronoun
our,Pronoun
she,Pronoun
somebody,Pronoun
someone,Pronoun
something,Pronoun
thee,Pronoun
their,Pronoun
them,Pronoun
they,Pronoun
thou,Pronoun
thy,Pronoun
us,Pronoun
we,Pronoun
you,Pronoun
your,Pronoun
yours,Pronoun
yourself,Pronoun
buzz,Unclassified
adopted,Verb
agree,Verb
allowed,Verb
am,Verb
amble,Verb
announced,Verb
answer,Verb
answered,Verb
appeared,Verb
arrived,Verb
ask,Verb
asked,Verb
asking,Verb
ate,Verb
bang,Verb
banged,Verb
became,Verb
become,Verb
been,Verb
began,Verb
begged,Verb
begin,Verb
being,Verb
believe,Verb
belong,Verb
bend,Verb
bent,Verb
bet,Verb
bite,Verb
bless,Verb
blew,Verb
blow,Verb
born,Verb
bother,Verb
bowed,Verb
break,Verb
breaks,Verb
bring,Verb
broke,Verb
broken,Verb
brought,Verb
brush,Verb
brushed,Verb
build,Verb
built,Verb
buried,Verb
burned,Verb
burnt,Verb
burst,Verb
buy,Verb
call,Verb
called,Verb
calling,Verb
came,Verb
care,Verb
carried,Verb
carry,Verb
cast,Verb
catch,Verb
caught,Verb
change,Verb
checked,Verb
cheer,Verb
cheered,Verb
chomp,Verb
choose,Verb
chose,Verb
chosen,Verb
chug,Verb
clearing,Verb
climb,Verb
climbed,Verb
closed,Verb
comb,Verb
come,Verb
comes,Verb
coming,Verb
continued,Verb
cooked,Verb
coughed,Verb
could,Verb
count,Verb
counted,Verb
covered,Verb
cracked,Verb
crawled,Verb
crept,Verb
cried,Verb
crossed,Verb
crumpled,Verb
cry,Verb
cuddle,Verb
curl,Verb
cut,Verb
dance,Verb
danced,Verb
dancing,Verb
dare,Verb
dashed,Verb
decided,Verb
declared,Verb
demanded,Verb
did,Verb
dig,Verb
digging,Verb
disappeared,Verb
discouraged,Verb
discovered,Verb
disturb,Verb
ditch,Verb
do,Verb
does,Verb
doing,Verb
done,Verb
dozing,Verb
dragged,Verb
drank,Verb
drawing,Verb
dressed,Verb
drive,Verb
drives,Verb
drop,Verb
dropped,Verb
dug,Verb
dump,Verb
dumped,Verb
dwell,Verb
eat,Verb
eaten,Verb
eating,Verb
ended,Verb
ends,Verb
enjoy,Verb
escape,Verb
exclaimed,Verb
excuse,Verb
expect,Verb
explained,Verb
fall,Verb
fallen,Verb
falling,Verb
fed,Verb
feel,Verb
feeling,Verb
feels,Verb
fell,Verb
felt,Verb
fetch,Verb
fight,Verb
fighting,Verb
fill,Verb
filled,Verb
find,Verb
finish,Verb
finished,Verb
fired,Verb
fit,Verb
flew,Verb
flip,Verb
floating,Verb
flying,Verb
follow,Verb
followed,Verb
following,Verb
forget,Verb
forgot,Verb
forgotten,Verb
fought,Verb
found,Verb
freeze,Verb
gasped,Verb
gathered,Verb
gathering,Verb
gave,Verb
gazed,Verb
get,Verb
gets,Verb
getting,Verb
giggled,Verb
give,Verb
gives,Verb
go,Verb
goes,Verb
going,Verb
gone,Verb
got,Verb
gotten,Verb
grabbed,Verb
grew,Verb
groaned,Verb
grow,Verb
grown,Verb
grows,Verb
grumbled,Verb
guess,Verb
gulped,Verb
had,Verb
handed,Verb
hang,Verb
hanging,Verb
happen,Verb
happened,Verb
hark,Verb
has,Verb
hate,Verb
have,Verb
having,Verb
headed,Verb
hear,Verb
heard,Verb
held,Verb
help,Verb
helped,Verb
hid,Verb
hidden,Verb
hide,Verb
hold,Verb
honk,Verb
hop,Verb
hope,Verb
hoped,Verb
humming,Verb
hung,Verb
hurried,Verb
hurry,Verb
hurt,Verb
imagine,Verb
insist,Verb
introduced,Verb
join,Verb
jump,Verb
jumped,Verb
jumping,Verb
keep,Verb
kept,Verb
kill,Verb
kiss,Verb
kissed,Verb
knew,Verb
knit,Verb
knock,Verb
knocked,Verb
know,Verb
knows,Verb
laughed,Verb
laughing,Verb
lay,Verb
learning,Verb
leave,Verb
led,Verb
lend,Verb
let,Verb
licks,Verb
lift,Verb
lifted,Verb
liked,Verb
likes,Verb
listen,Verb
listened,Verb
live,Verb
lived,Verb
living,Verb
lock,Verb
locked,Verb
longed,Verb
look,Verb
looked,Verb
looking,Verb
looks,Verb
